Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,57,4.57,.704,162,1458,1097,12870.0,5746,4290,1370,86,134,.985,34,3,55,-1,-3
Atlanta Braves,53,3.76,.701,162,1458,1195,13032.0,5803,4344,1382,77,110,.987,16,1,31,2,4
Baltimore Orioles,57,4.25,.690,162,1458,1121,12900.0,5920,4300,1529,91,151,.985,6,1,38,2,5
Boston Red Sox,53,4.86,.683,162,1458,1105,12879.0,5825,4293,1447,85,134,.985,-7,-1,-2,-2,-8
Chicago Cubs,64,4.51,.697,162,1458,1086,12993.0,5880,4331,1453,96,139,.984,1,0,2,0,-1
Chicago White Sox,44,4.43,.688,162,1458,1093,13029.0,5738,4343,1293,102,122,.982,-72,-7,-35,-3,-11
Cincinnati Reds,65,5.03,.689,162,1458,1095,12810.0,5647,4270,1296,81,115,.986,-33,-3,-43,-1,0
Cleveland Guardians,50,3.91,.709,162,1458,1131,13104.0,5908,4368,1443,97,127,.984,59,5,77,0,-2
Colorado Rockies,43,5.39,.673,162,1458,1128,12828.0,5968,4276,1592,100,154,.983,-34,-3,6,0,-7
Detroit Tigers,52,4.40,.701,162,1458,1157,12777.0,5757,4259,1404,94,137,.984,12,1,26,0,-1
Houston Astros,44,3.20,.719,162,1458,1140,13008.0,5698,4336,1290,72,122,.987,43,4,67,0,3
Kansas City Royals,55,5.00,.675,162,1458,1109,12744.0,5829,4248,1499,82,153,.986,-26,-2,-37,-1,0
Los Angeles Angels,66,4.12,.709,162,1458,1004,12921.0,5773,4307,1382,84,134,.985,27,3,8,-1,-5
Los Angeles Dodgers,51,3.17,.729,162,1458,1135,13062.0,5788,4354,1351,83,120,.986,69,6,84,2,3
Miami Marlins,56,4.17,.694,162,1458,1077,12936.0,5841,4312,1460,69,143,.988,8,1,12,1,5
Milwaukee Brewers,51,4.25,.704,162,1458,1110,13014.0,5848,4338,1419,91,122,.984,1,0,51,1,-1
Minnesota Twins,61,4.22,.702,162,1458,1061,12933.0,5701,4311,1307,83,121,.985,17,2,23,0,3
New York Mets,59,3.74,.692,162,1458,1103,12948.0,5742,4316,1359,67,128,.988,-33,-3,11,0,6
New York Yankees,54,3.50,.720,162,1458,1092,13065.0,5902,4355,1473,74,102,.987,63,6,129,1,3
Oakland Athletics,64,4.75,.697,162,1458,1036,12837.0,5837,4279,1466,92,139,.984,-43,-4,-29,0,-7
Philadelphia Phillies,56,4.23,.687,162,1458,1104,12855.0,5770,4285,1416,69,129,.988,-41,-4,-34,0,0
Pittsburgh Pirates,68,5.04,.677,162,1458,1060,12789.0,5891,4263,1507,121,152,.979,-63,-6,-1,0,3
San Diego Padres,55,4.07,.705,162,1458,1081,12990.0,5768,4330,1362,76,116,.987,-8,-1,6,-2,0
Seattle Mariners,59,3.85,.710,162,1458,1088,13023.0,5727,4341,1317,69,114,.988,24,2,38,0,4
San Francisco Giants,65,4.30,.674,162,1458,870,12897.0,5945,4299,1546,100,130,.983,-65,-6,-52,-1,5
St. Louis Cardinals,51,3.93,.702,162,1458,1041,12921.0,6074,4307,1701,66,181,.989,32,3,70,5,11
Tampa Bay Rays,61,3.79,.708,162,1458,1067,12921.0,5777,4307,1386,84,110,.985,11,1,14,0,-6
Texas Rangers,55,4.59,.693,162,1458,1137,12915.0,5929,4305,1528,96,143,.984,4,0,3,0,-10
Toronto Blue Jays,51,4.19,.691,162,1458,1065,12972.0,5754,4324,1348,82,120,.986,5,0,43,0,4
Washington Nationals,54,5.28,.687,162,1458,1163,12705.0,5749,4235,1410,104,126,.982,-39,-4,-47,-1,-7
